generation=0, runtime=4.21s, best_objective=1455571.107500, note=start
generation=1, runtime=8.27s, best_objective=1455571.107500, note=checkpoint
generation=2, runtime=12.29s, best_objective=1455571.107500, note=checkpoint
generation=3, runtime=16.83s, best_objective=1455571.107500, note=checkpoint
generation=4, runtime=20.83s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=24.81s, best_objective=1455571.107500, note=checkpoint
generation=6, runtime=29.10s, best_objective=1455571.107500, note=checkpoint
generation=7, runtime=33.20s, best_objective=1455571.107500, note=checkpoint
generation=8, runtime=37.13s, best_objective=1455571.107500, note=checkpoint
generation=9, runtime=40.89s, best_objective=1455571.107500, note=checkpoint
generation=10, runtime=44.76s, best_objective=1455571.107500, note=checkpoint
generation=11, runtime=48.64s, best_objective=1455571.107500, note=checkpoint
generation=12, runtime=52.35s, best_objective=1455571.107500, note=checkpoint
generation=13, runtime=56.18s, best_objective=1455571.107500, note=checkpoint
generation=14, runtime=59.67s, best_objective=1455571.107500, note=checkpoint
generation=15, runtime=63.24s, best_objective=1455571.107500, note=checkpoint
generation=16, runtime=66.72s, best_objective=1455571.107500, note=checkpoint
generation=17, runtime=70.21s, best_objective=1455571.107500, note=checkpoint
generation=18, runtime=74.82s, best_objective=1455571.107500, note=checkpoint
generation=19, runtime=78.26s, best_objective=1455571.107500, note=checkpoint
generation=20, runtime=81.76s, best_objective=1455571.107500, note=checkpoint
generation=21, runtime=85.17s, best_objective=1455571.107500, note=checkpoint
generation=22, runtime=88.55s, best_objective=1455571.107500, note=checkpoint
generation=23, runtime=92.02s, best_objective=1455571.107500, note=checkpoint
generation=24, runtime=95.85s, best_objective=1455571.107500, note=checkpoint
generation=25, runtime=99.60s, best_objective=1455571.107500, note=checkpoint
generation=26, runtime=103.12s, best_objective=1455571.107500, note=checkpoint
generation=27, runtime=106.56s, best_objective=1455571.107500, note=checkpoint
generation=28, runtime=110.01s, best_objective=1455571.107500, note=checkpoint
generation=29, runtime=113.99s, best_objective=1455571.107500, note=checkpoint
generation=30, runtime=117.56s, best_objective=1455571.107500, note=checkpoint
generation=31, runtime=122.25s, best_objective=1455571.107500, note=checkpoint
generation=32, runtime=128.90s, best_objective=1455571.107500, note=checkpoint
generation=33, runtime=133.40s, best_objective=1455571.107500, note=checkpoint
generation=34, runtime=146.31s, best_objective=1455571.107500, note=checkpoint
generation=35, runtime=158.85s, best_objective=1455571.107500, note=checkpoint
generation=36, runtime=169.11s, best_objective=1455571.107500, note=checkpoint
generation=37, runtime=177.77s, best_objective=1455571.107500, note=checkpoint
generation=38, runtime=186.93s, best_objective=1455571.107500, note=checkpoint
generation=39, runtime=195.54s, best_objective=1455571.107500, note=checkpoint
generation=40, runtime=203.48s, best_objective=1455571.107500, note=checkpoint
generation=41, runtime=211.11s, best_objective=1455571.107500, note=checkpoint
generation=42, runtime=218.52s, best_objective=1455571.107500, note=checkpoint
generation=43, runtime=226.61s, best_objective=1455571.107500, note=checkpoint
generation=44, runtime=234.23s, best_objective=1455571.107500, note=checkpoint
generation=45, runtime=242.38s, best_objective=1455571.107500, note=checkpoint
generation=46, runtime=249.73s, best_objective=1455571.107500, note=checkpoint
generation=47, runtime=254.75s, best_objective=1455571.107500, note=checkpoint
generation=48, runtime=260.04s, best_objective=1455571.107500, note=checkpoint
generation=49, runtime=264.87s, best_objective=1455571.107500, note=checkpoint
generation=50, runtime=270.20s, best_objective=1455571.107500, note=checkpoint
generation=51, runtime=288.72s, best_objective=1455550.516600, note=elitism 1/3
generation=51, runtime=288.82s, best_objective=1455550.516600, note=elitism 2/3
generation=51, runtime=299.33s, best_objective=1455550.516600, note=elitism 3/3
generation=51, runtime=299.33s, best_objective=1455550.516600, note=checkpoint
generation=51, runtime=299.33s, best_objective=1455550.516600, note=finished
