generation=0, runtime=4.59s, best_objective=1455571.107500, note=start
generation=1, runtime=8.66s, best_objective=1455571.107500, note=checkpoint
generation=2, runtime=12.94s, best_objective=1455571.107500, note=checkpoint
generation=3, runtime=17.23s, best_objective=1455571.107500, note=checkpoint
generation=4, runtime=21.17s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=25.28s, best_objective=1455571.107500, note=checkpoint
generation=6, runtime=29.15s, best_objective=1455571.107500, note=checkpoint
generation=7, runtime=33.63s, best_objective=1455571.107500, note=checkpoint
generation=8, runtime=38.63s, best_objective=1455571.107500, note=checkpoint
generation=9, runtime=43.94s, best_objective=1455571.107500, note=checkpoint
generation=10, runtime=49.56s, best_objective=1455571.107500, note=checkpoint
generation=11, runtime=55.04s, best_objective=1455571.107500, note=checkpoint
generation=12, runtime=61.05s, best_objective=1455571.107500, note=checkpoint
generation=13, runtime=66.57s, best_objective=1455571.107500, note=checkpoint
generation=14, runtime=70.83s, best_objective=1455571.107500, note=checkpoint
generation=15, runtime=74.62s, best_objective=1455571.107500, note=checkpoint
generation=16, runtime=78.23s, best_objective=1455571.107500, note=checkpoint
generation=17, runtime=81.77s, best_objective=1455571.107500, note=checkpoint
generation=18, runtime=85.28s, best_objective=1455571.107500, note=checkpoint
generation=19, runtime=89.10s, best_objective=1455571.107500, note=checkpoint
generation=20, runtime=93.07s, best_objective=1455571.107500, note=checkpoint
generation=21, runtime=96.59s, best_objective=1455571.107500, note=checkpoint
generation=22, runtime=100.62s, best_objective=1455571.107500, note=checkpoint
generation=23, runtime=104.08s, best_objective=1455571.107500, note=checkpoint
generation=24, runtime=107.65s, best_objective=1455571.107500, note=checkpoint
generation=25, runtime=111.11s, best_objective=1455571.107500, note=checkpoint
generation=26, runtime=115.33s, best_objective=1455571.107500, note=checkpoint
generation=27, runtime=118.88s, best_objective=1455571.107500, note=checkpoint
generation=28, runtime=122.55s, best_objective=1455571.107500, note=checkpoint
generation=29, runtime=125.97s, best_objective=1455571.107500, note=checkpoint
generation=30, runtime=129.48s, best_objective=1455571.107500, note=checkpoint
generation=31, runtime=133.20s, best_objective=1455571.107500, note=checkpoint
generation=32, runtime=136.70s, best_objective=1455571.107500, note=checkpoint
generation=33, runtime=140.15s, best_objective=1455571.107500, note=checkpoint
generation=34, runtime=143.50s, best_objective=1455571.107500, note=checkpoint
generation=35, runtime=147.12s, best_objective=1455571.107500, note=checkpoint
generation=36, runtime=150.78s, best_objective=1455571.107500, note=checkpoint
generation=37, runtime=154.37s, best_objective=1455571.107500, note=checkpoint
generation=38, runtime=157.79s, best_objective=1455571.107500, note=checkpoint
generation=39, runtime=161.18s, best_objective=1455571.107500, note=checkpoint
generation=40, runtime=164.50s, best_objective=1455571.107500, note=checkpoint
generation=41, runtime=167.95s, best_objective=1455571.107500, note=checkpoint
generation=42, runtime=171.24s, best_objective=1455571.107500, note=checkpoint
generation=43, runtime=174.88s, best_objective=1455571.107500, note=checkpoint
generation=44, runtime=178.23s, best_objective=1455571.107500, note=checkpoint
generation=45, runtime=181.47s, best_objective=1455571.107500, note=checkpoint
generation=46, runtime=184.67s, best_objective=1455571.107500, note=checkpoint
generation=47, runtime=188.05s, best_objective=1455571.107500, note=checkpoint
generation=48, runtime=191.41s, best_objective=1455571.107500, note=checkpoint
generation=49, runtime=195.02s, best_objective=1455571.107500, note=checkpoint
generation=50, runtime=207.63s, best_objective=1455550.516600, note=elitism 1/3
generation=50, runtime=207.70s, best_objective=1455550.516600, note=elitism 2/3
generation=50, runtime=215.28s, best_objective=1455550.516600, note=elitism 3/3
generation=50, runtime=215.28s, best_objective=1455550.516600, note=checkpoint
generation=51, runtime=218.50s, best_objective=1455550.516600, note=checkpoint
generation=51, runtime=218.50s, best_objective=1455550.516600, note=finished
