generation=0, runtime=5.80s, best_objective=1455571.107500, note=start
generation=1, runtime=11.85s, best_objective=1455571.107500, note=checkpoint
generation=2, runtime=18.53s, best_objective=1455571.107500, note=checkpoint
generation=3, runtime=24.48s, best_objective=1455571.107500, note=checkpoint
generation=4, runtime=28.94s, best_objective=1455571.107500, note=checkpoint
generation=5, runtime=33.56s, best_objective=1455571.107500, note=checkpoint
generation=6, runtime=38.34s, best_objective=1455571.107500, note=checkpoint
generation=7, runtime=43.01s, best_objective=1455571.107500, note=checkpoint
generation=8, runtime=47.27s, best_objective=1455571.107500, note=checkpoint
generation=9, runtime=51.42s, best_objective=1455571.107500, note=checkpoint
generation=10, runtime=55.31s, best_objective=1455571.107500, note=checkpoint
generation=11, runtime=59.33s, best_objective=1455571.107500, note=checkpoint
generation=12, runtime=63.26s, best_objective=1455571.107500, note=checkpoint
generation=13, runtime=67.12s, best_objective=1455571.107500, note=checkpoint
generation=14, runtime=71.09s, best_objective=1455571.107500, note=checkpoint
generation=15, runtime=74.95s, best_objective=1455571.107500, note=checkpoint
generation=16, runtime=78.92s, best_objective=1455571.107500, note=checkpoint
generation=17, runtime=83.10s, best_objective=1455571.107500, note=checkpoint
generation=18, runtime=87.00s, best_objective=1455571.107500, note=checkpoint
generation=19, runtime=90.78s, best_objective=1455571.107500, note=checkpoint
generation=20, runtime=94.73s, best_objective=1455571.107500, note=checkpoint
generation=21, runtime=98.53s, best_objective=1455571.107500, note=checkpoint
generation=22, runtime=102.43s, best_objective=1455571.107500, note=checkpoint
generation=23, runtime=106.57s, best_objective=1455571.107500, note=checkpoint
generation=24, runtime=110.33s, best_objective=1455571.107500, note=checkpoint
generation=25, runtime=114.28s, best_objective=1455571.107500, note=checkpoint
generation=26, runtime=118.01s, best_objective=1455571.107500, note=checkpoint
generation=27, runtime=122.41s, best_objective=1455571.107500, note=checkpoint
generation=28, runtime=126.96s, best_objective=1455571.107500, note=checkpoint
generation=29, runtime=130.78s, best_objective=1455571.107500, note=checkpoint
generation=30, runtime=134.52s, best_objective=1455571.107500, note=checkpoint
generation=31, runtime=138.36s, best_objective=1455571.107500, note=checkpoint
generation=32, runtime=142.31s, best_objective=1455571.107500, note=checkpoint
generation=33, runtime=146.59s, best_objective=1455571.107500, note=checkpoint
generation=34, runtime=150.24s, best_objective=1455571.107500, note=checkpoint
generation=35, runtime=153.88s, best_objective=1455571.107500, note=checkpoint
generation=36, runtime=157.62s, best_objective=1455571.107500, note=checkpoint
generation=37, runtime=161.13s, best_objective=1455571.107500, note=checkpoint
generation=38, runtime=165.08s, best_objective=1455571.107500, note=checkpoint
generation=39, runtime=168.87s, best_objective=1455571.107500, note=checkpoint
generation=40, runtime=172.57s, best_objective=1455571.107500, note=checkpoint
generation=41, runtime=176.16s, best_objective=1455571.107500, note=checkpoint
generation=42, runtime=179.71s, best_objective=1455571.107500, note=checkpoint
generation=43, runtime=183.56s, best_objective=1455571.107500, note=checkpoint
generation=44, runtime=187.24s, best_objective=1455571.107500, note=checkpoint
generation=45, runtime=190.85s, best_objective=1455571.107500, note=checkpoint
generation=46, runtime=194.81s, best_objective=1455571.107500, note=checkpoint
generation=47, runtime=198.61s, best_objective=1455571.107500, note=checkpoint
generation=48, runtime=202.28s, best_objective=1455571.107500, note=checkpoint
generation=49, runtime=205.96s, best_objective=1455571.107500, note=checkpoint
generation=50, runtime=326.27s, best_objective=1454827.872800, note=elitism 1/3
generation=50, runtime=821.49s, best_objective=1454827.872800, note=elitism 2/3
generation=50, runtime=2718.16s, best_objective=1454827.872800, note=elitism 3/3
generation=50, runtime=2718.17s, best_objective=1454827.872800, note=checkpoint
generation=51, runtime=2722.72s, best_objective=1454827.872800, note=checkpoint
generation=52, runtime=2727.04s, best_objective=1454827.872800, note=checkpoint
generation=53, runtime=2731.26s, best_objective=1454827.872800, note=checkpoint
generation=54, runtime=2735.24s, best_objective=1454827.872800, note=checkpoint
generation=55, runtime=2739.75s, best_objective=1454827.872800, note=checkpoint
